Location,2017 PTB Counts
Afghanistan,141429.4522
Albania,3103.611819
Algeria,118714.0107
American Samoa,104.6021393
Andorra,34.34171541
Angola,124150.4692
Antigua and Barbuda,100.6856728
Argentina,57630.25911
Armenia,4352.624333
Australia,26003.77306
Austria,6972.238697
Azerbaijan,16008.69607
Bahrain,1465.757135
Bangladesh,522450.665
Barbados,284.488937
Belarus,4852.007957
Belgium,12241.57279
Belize,717.4795787
Benin,43285.03675
Bermuda,51.32070931
Bhutan,1483.516665
Bolivia (Plurinational State of),30981.65303
Bosnia and Herzegovina,1937.518819
Botswana,5730.950369
Brazil,354982.1585
Brunei Darussalam,646.3708396
Bulgaria,5773.817483
Burkina Faso,101524.1492
Burundi,50867.26937
Cambodia,37813.05732
Cameroon,103336.9138
Canada,30757.92927
Cabo Verde,1308.217588
Central African Republic,21561.93074
Chad,83554.64968
Chile,17997.09986
China,1204326.555
Colombia,117233.2858
Comoros,1950.957285
Congo,17219.30774
Costa Rica,6716.662426
Cote d'Ivoire,101581.3122
Croatia,1862.963004
Cuba,6661.213258
Cyprus,2780.740511
Czechia,8763.466779
Democratic Republic of the Congo,276364.0744
Denmark,4406.544194
Djibouti,4099.456547
Dominica,80.67796781
Dominican Republic,22262.78089
Ecuador,27509.70021
Egypt,288469.6749
El Salvador,10967.62172
Equatorial Guinea,4419.829974
Eritrea,22728.61903
Estonia,791.5229503
Ethiopia,411042.1959
Micronesia (Federated States of),196.7479509
Fiji,1795.463025
Finland,2939.951505
France,60879.64016
Gabon,4960.844311
Georgia,5195.992538
Germany,67403.08157
Ghana,97562.68704
Greece,10619.91189
Greenland,76.94892835
Grenada,140.1471399
Guam,273.995538
Guatemala,39170.03845
Guinea,53360.70494
Guinea-Bissau,7180.045955
Guyana,1411.87428
Haiti,31121.03061
Honduras,22002.65782
Hungary,7795.089664
Iceland,365.996018
India,3214107.275
Indonesia,410875.4118
Iran (Islamic Republic of),87659.75505
Iraq,97444.00542
Ireland,4023.871045
Israel,16184.25147
Italy,36229.83599
Jamaica,3609.423128
Japan,54073.14963
Jordan,40717.9556
Kazakhstan,19189.07906
Kenya,112173.8971
Kiribati,294.7895162
Kuwait,6193.054043
Kyrgyzstan,15473.26103
Lao People's Democratic Republic,17347.95948
Latvia,1145.271093
Lebanon,9836.366946
Lesotho,5460.873513
Liberia,15692.74433
Libya,11384.46838
Lithuania,1572.308728
Luxembourg,599.6792247
North Macedonia,2007.885053
Madagascar,96696.40939
Malawi,54282.38648
Malaysia,52373.26827
Maldives,537.8993495
Mali,102877.8399
Malta,310.9749329
Marshall Islands,104.8260712
Mauritania,12694.48436
Mauritius,1562.606775
Mexico,148930.5968
Republic of Moldova,3047.840095
Mongolia,8736.6538
Montenegro,605.7686187
Morocco,84793.24918
Mozambique,124170.8056
Myanmar,107865.0328
Namibia,7247.270751
Nepal,32357.09079
Netherlands,12990.79049
New Zealand,4397.708201
Nicaragua,12920.08415
Niger,121501.6965
Nigeria,801021.057
Democratic People's Republic of Korea,36714.26922
Northern Mariana Islands,42.16461793
Norway,3341.358921
Oman,7255.289893
Pakistan,534494.1497
Palestine,11674.07597
Panama,7496.405136
Papua New Guinea,30261.38937
Paraguay,10200.2823
Peru,56771.92438
Philippines,344757.3662
Poland,27910.09597
Portugal,6565.45264
Puerto Rico,2525.797492
Qatar,1212.761856
Romania,16551.84124
Russian Federation,157313.2454
Rwanda,40071.73868
Saint Lucia,182.1029343
Saint Vincent and the Grenadines,153.3758586
Samoa,361.1467136
Sao Tome and Principe,558.2192193
Saudi Arabia,18114.23444
Senegal,53079.86354
Serbia,10428.43726
Seychelles,182.0493454
Sierra Leone,31015.97173
Singapore,6039.229585
Slovakia,5287.232443
Slovenia,1464.955468
Solomon Islands,2007.988883
Somalia,93108.30019
South Africa,129425.0913
Republic of Korea,28104.62187
South Sudan,38193.76459
Spain,25756.07894
Sri Lanka,21562.14933
Sudan,155644.575
Suriname,912.1984948
Eswatini,3526.184088
Sweden,6814.319527
Switzerland,6290.09441
Syrian Arab Republic,24057.96158
Taiwan (Province of China),13609.80535
Tajikistan,25706.62107
United Republic of Tanzania,323187.6147
Thailand,79679.72518
Bahamas,412.6734716
Gambia,8171.833451
Timor-Leste,3760.459492
Togo,27663.02294
Tonga,238.5858302
Trinidad and Tobago,1616.427343
Tunisia,23732.52211
Turkey,122470.7962
Turkmenistan,11797.27123
Uganda,98057.89545
Ukraine,37468.60955
United Arab Emirates,3655.652584
United Kingdom,54879.51611
United States of America,364016.2641
Uruguay,4164.387143
Uzbekistan,75956.07065
Vanuatu,739.8555069
Venezuela (Bolivarian Republic of),46704.23807
Viet Nam,92664.6989
United States Virgin Islands,126.1248512
Yemen,95757.32001
Zambia,69113.37628
Zimbabwe,52303.91957
Cook Islands,23.37338423
Monaco,24.79371654
Nauru,24.77375905
Niue,2.12829893
Palau,17.16965149
Saint Kitts and Nevis,68.24167647
San Marino,24.67690249
Tokelau,3.017590632
Tuvalu,17.56632982