Location,2019 LBW Counts
Afghanistan,369287.3657
Albania,1605.089271
Algeria,63110.84463
American Samoa,82.30074567
Andorra,34.64033581
Angola,163240.2234
Antigua and Barbuda,89.67893186
Argentina,50262.04753
Armenia,3423.502586
Australia,19833.42176
Austria,5729.477871
Azerbaijan,10474.09137
Bahrain,1566.003963
Bangladesh,738155.5602
Barbados,247.1128443
Belarus,5284.406546
Belgium,8856.111543
Belize,644.8592586
Benin,81813.38128
Bermuda,67.10360066
Bhutan,1558.737948
Bolivia (Plurinational State of),22892.52865
Bosnia and Herzegovina,918.5913915
Botswana,7415.579677
Brazil,257715.1545
Brunei Darussalam,677.4330276
Bulgaria,5782.480785
Burkina Faso,117547.7584
Burundi,67771.66181
Cambodia,43663.69454
Cameroon,104289.1316
Canada,23826.30034
Cabo Verde,1405.758365
Central African Republic,27142.3603
Chad,98774.40804
Chile,14008.97809
China,747352.2615
Colombia,78178.19933
Comoros,3827.383222
Congo,16379.61662
Costa Rica,4954.024918
Cote d'Ivoire,132575.4572
Croatia,1825.648645
Cuba,5511.654163
Cyprus,1036.724284
Czechia,8677.480539
Democratic Republic of the Congo,306841.8402
Denmark,3348.786466
Djibouti,4410.917783
Dominica,71.59520145
Dominican Republic,25462.87023
Ecuador,38554.79806
Egypt,228773.6805
El Salvador,11508.46009
Equatorial Guinea,4961.575901
Eritrea,25208.35007
Estonia,581.5956433
Ethiopia,461290.2305
Micronesia (Federated States of),152.7687879
Fiji,1380.405282
Finland,2053.637688
France,52900.92606
Gabon,5928.830356
Georgia,2823.114941
Germany,50720.09578
Ghana,117399.131
Greece,7615.140196
Greenland,62.69503351
Grenada,120.4155335
Guam,255.3812167
Guatemala,44286.62886
Guinea,60748.61689
Guinea-Bissau,12743.5723
Guyana,2215.3033
Haiti,27806.54656
Honduras,25074.27451
Hungary,7291.77292
Iceland,177.2632809
India,5989525.127
Indonesia,379681.3141
Iran (Islamic Republic of),147721.3173
Iraq,102707.3635
Ireland,3579.760781
Israel,15037.5192
Italy,31047.8925
Jamaica,5226.256842
Japan,86382.92628
Jordan,33039.52174
Kazakhstan,19234.04997
Kenya,149882.9514
Kiribati,235.3096976
Kuwait,5941.827844
Kyrgyzstan,8019.600518
Lao People's Democratic Republic,28991.15595
Latvia,879.0903308
Lebanon,9675.693092
Lesotho,6595.08334
Liberia,17232.26055
Libya,8862.173877
Lithuania,1223.127505
Luxembourg,423.5640079
North Macedonia,2018.93282
Madagascar,141797.1432
Malawi,76565.41225
Malaysia,60995.60137
Maldives,980.9340881
Mali,121281.4949
Malta,272.2831379
Marshall Islands,96.85504119
Mauritania,14076.5596
Mauritius,2187.401659
Mexico,163438.5059
Republic of Moldova,1622.723362
Mongolia,4308.348532
Montenegro,366.0219512
Morocco,103310.8477
Mozambique,149230.9071
Myanmar,125959.4562
Namibia,9515.9208
Nepal,131847.9691
Netherlands,10920.55343
New Zealand,3364.524656
Nicaragua,13858.57346
Niger,144555.5096
Nigeria,953702.9531
Democratic People's Republic of Korea,27052.48703
Northern Mariana Islands,38.61951139
Norway,2556.951716
Oman,8166.754784
Pakistan,1673683.482
Palestine,10367.34803
Panama,7634.121455
Papua New Guinea,25050.15444
Paraguay,10101.6747
Peru,59614.1492
Philippines,525417.3605
Poland,21908.24116
Portugal,7190.530659
Puerto Rico,2186.063906
Qatar,1978.211208
Romania,14424.21403
Russian Federation,98194.60751
Rwanda,26918.13346
Saint Lucia,154.3521321
Saint Vincent and the Grenadines,131.1186077
Samoa,296.439999
Sao Tome and Principe,303.0680427
Saudi Arabia,49195.04004
Senegal,83170.24761
Serbia,3760.759152
Seychelles,172.7231284
Sierra Leone,38410.75377
Singapore,5490.724506
Slovakia,4285.427502
Slovenia,1174.176329
Solomon Islands,1614.661249
Somalia,107705.3932
South Africa,144599.5797
Republic of Korea,23635.9864
South Sudan,44844.69867
Spain,30733.59573
Sri Lanka,47088.20907
Sudan,149937.418
Suriname,1307.371275
Eswatini,2971.496885
Sweden,2838.520122
Switzerland,5695.612425
Syrian Arab Republic,24949.6979
Taiwan (Province of China),8839.294374
Tajikistan,14000.16371
United Republic of Tanzania,209689.2257
Thailand,61796.94369
Bahamas,540.0333406
Gambia,11613.10277
Timor-Leste,2960.638397
Togo,36998.69015
Tonga,184.119132
Trinidad and Tobago,1916.28268
Tunisia,12510.04378
Turkey,111111.441
Turkmenistan,5471.342824
Uganda,198634.7125
Ukraine,22176.77313
United Arab Emirates,7316.508526
United Kingdom,54397.83285
United States of America,303540.1924
Uruguay,3469.767715
Uzbekistan,37360.51161
Vanuatu,823.8614249
Venezuela (Bolivarian Republic of),42785.94912
Viet Nam,109809.5197
United States Virgin Islands,109.6193914
Yemen,99255.29217
Zambia,68839.27486
Zimbabwe,54776.26553
Cook Islands,9.491193888
Monaco,17.16050592
Nauru,23.23410491
Niue,1.99347076
Palau,14.93692094
Saint Kitts and Nevis,60.3560409
San Marino,10.29370028
Tokelau,2.898253401
Tuvalu,16.89768284