Location,2019 PTB Counts
Afghanistan,123745.4121
Albania,2202.519981
Algeria,54763.50636
American Samoa,82.02600611
Andorra,29.61282802
Angola,91881.91046
Antigua and Barbuda,85.126702
Argentina,50885.70573
Armenia,3315.442272
Australia,20682.55174
Austria,5591.757884
Azerbaijan,12497.99529
Bahrain,873.6570733
Bangladesh,349709.9686
Barbados,244.1402521
Belarus,3547.278388
Belgium,9398.547913
Belize,644.4730519
Benin,28988.67162
Bermuda,38.00269138
Bhutan,1159.808518
Bolivia (Plurinational State of),27221.22592
Bosnia and Herzegovina,594.978984
Botswana,4069.735535
Brazil,228517.6626
Brunei Darussalam,547.7181869
Bulgaria,4111.803512
Burkina Faso,76755.84463
Burundi,38450.15276
Cambodia,31289.40501
Cameroon,74830.26074
Canada,25380.49694
Cabo Verde,913.8764847
Central African Republic,16004.68141
Chad,64142.60009
Chile,16683.18634
China,875041.5603
Colombia,89441.96115
Comoros,1385.242626
Congo,12116.56523
Costa Rica,5694.619397
Cote d'Ivoire,73552.50651
Croatia,1359.006705
Cuba,7790.59687
Cyprus,2325.838671
Czechia,7064.322589
Democratic Republic of the Congo,200597.7087
Denmark,3696.826111
Djibouti,2904.218658
Dominica,61.14575883
Dominican Republic,19346.00918
Ecuador,14813.07752
Egypt,132141.9666
El Salvador,8265.699931
Equatorial Guinea,3222.360583
Eritrea,16592.99489
Estonia,852.0412175
Ethiopia,303622.4283
Micronesia (Federated States of),152.2406408
Fiji,1374.851596
Finland,3171.128555
France,42672.32176
Gabon,3580.864896
Georgia,4012.342126
Germany,48576.24605
Ghana,71104.94357
Greece,5539.966209
Greenland,54.07977383
Grenada,118.9607035
Guam,219.0324064
Guatemala,34721.95015
Guinea,39434.10707
Guinea-Bissau,5188.620092
Guyana,1217.34534
Haiti,27438.81341
Honduras,19771.1438
Hungary,5292.627423
Iceland,266.2463885
India,2561422.514
Indonesia,330973.2459
Iran (Islamic Republic of),54174.2534
Iraq,81877.48242
Ireland,3870.262805
Israel,11012.2106
Italy,29418.60864
Jamaica,3077.057549
Japan,61897.97864
Jordan,30177.50622
Kazakhstan,9914.248777
Kenya,82233.39576
Kiribati,234.1153049
Kuwait,5238.237986
Kyrgyzstan,12607.38028
Lao People's Democratic Republic,14539.19474
Latvia,1240.789651
Lebanon,5546.553626
Lesotho,3867.419663
Liberia,11188.55245
Libya,5118.419262
Lithuania,1726.514713
Luxembourg,479.1855384
North Macedonia,1404.333064
Madagascar,71033.22529
Malawi,39082.59199
Malaysia,46745.17293
Maldives,309.3626274
Mali,78665.3312
Malta,273.9914383
Marshall Islands,83.05134063
Mauritania,9146.009613
Mauritius,1101.927549
Mexico,116232.6984
Republic of Moldova,2043.175312
Mongolia,6970.198645
Montenegro,422.7855603
Morocco,37608.03496
Mozambique,92669.5354
Myanmar,88886.57236
Namibia,5262.070592
Nepal,21730.30159
Netherlands,10118.90935
New Zealand,4016.307866
Nicaragua,11164.66997
Niger,93937.35812
Nigeria,575903.8184
Democratic People's Republic of Korea,29690.61484
Northern Mariana Islands,33.13381831
Norway,3627.128149
Oman,5268.477877
Pakistan,360423.7111
Palestine,7587.019814
Panama,6504.094503
Papua New Guinea,24932.62
Paraguay,7985.390496
Peru,43699.92843
Philippines,237032.1292
Poland,23457.9292
Portugal,5141.349412
Puerto Rico,1869.885355
Qatar,809.9659677
Romania,11100.07373
Russian Federation,37198.24421
Rwanda,29365.97413
Saint Lucia,152.4462772
Saint Vincent and the Grenadines,129.5205748
Samoa,295.3884222
Sao Tome and Principe,394.469246
Saudi Arabia,29978.02136
Senegal,38673.71514
Serbia,1741.313296
Seychelles,127.1732602
Sierra Leone,22855.07944
Singapore,4957.174097
Slovakia,3606.699497
Slovenia,1215.441423
Solomon Islands,1608.613924
Somalia,70837.14186
South Africa,87369.94948
Republic of Korea,27856.66749
South Sudan,29504.81434
Spain,23638.82179
Sri Lanka,12440.2203
Sudan,72296.41086
Suriname,765.3377562
Eswatini,2472.181632
Sweden,7484.391376
Switzerland,5277.810298
Syrian Arab Republic,19900.02623
Taiwan (Province of China),10349.93208
Tajikistan,21629.87896
United Republic of Tanzania,129559.5421
Thailand,59330.69375
Bahamas,353.3277672
Gambia,5948.64965
Timor-Leste,3246.654484
Togo,19736.31227
Tonga,183.4663913
Trinidad and Tobago,1328.266146
Tunisia,10541.061
Turkey,84753.28109
Turkmenistan,9651.8251
Uganda,62343.68375
Ukraine,24789.98374
United Arab Emirates,2365.105907
United Kingdom,50068.01876
United States of America,257287.1102
Uruguay,3388.531393
Uzbekistan,61740.60259
Vanuatu,595.8690435
Venezuela (Bolivarian Republic of),36146.54008
Viet Nam,57465.23755
United States Virgin Islands,93.77030711
Yemen,78998.29257
Zambia,50936.77389
Zimbabwe,37220.89781
Cook Islands,18.45862586
Monaco,20.0901458
Nauru,19.92067015
Niue,1.709343264
Palau,12.81278175
Saint Kitts and Nevis,51.60832865
San Marino,20.09302513
Tokelau,2.486701492
Tuvalu,14.49188735